feature	logFC	AveExpr	t	P.Value	adj.P.Val	B
"rno-mir-6215-3p,mir6215-3p|chr5:161800078-161800111"	3.195474801	-3.565571826	3.436950645	0.00364306	0.134410716	-1.749537036
mir_chr15_11343|chr15:112062944-112063021	3.35826006	-3.465296315	3.429384731	0.003700206	0.134410716	-1.76628331
mir_chr20_19118|chr20:16276308-16276364	2.99691169	-4.660940806	3.40970083	0.003853111	0.134410716	-1.781004382
mir881-3p|chrX:151278811-151278849	-3.324274104	-3.702846774	-3.403752551	0.003900546	0.134410716	-1.7855521
mir_chr1_1687|chr1:246706940-246706997	2.994238217	-4.661957386	3.406421962	0.003879187	0.134410716	-1.787046125
mir_chr3_20831|chr3:56195374-56195446	2.458196793	1.148128359	3.478344293	0.003345667	0.133303935	-1.841306955
mir_chr1_1918|chr1:274073953-274074010	-2.835439709	-4.770585851	-3.330427489	0.004535402	0.152174684	-1.922684729
mir_chr14_15275|chr14:2426985-2427048	-2.950686208	-3.08732055	-3.273428998	0.005099102	0.162533879	-2.016198156
mir_chr14_15269|chr14:1580662-1580725	-2.950686208	-3.08732055	-3.273428998	0.005099102	0.162533879	-2.016198156
mir_chr1_2171|chr1:41067324-41067404	2.95458095	-2.132922592	3.233408584	0.005535966	0.168056097	-2.15160261
mir743b-5p|chrX:151248596-151248634	-2.948848725	-4.698071836	-3.183382227	0.006134569	0.174345337	-2.194386344
mir_chr9_32125|chr9:69314307-69314370	-2.977403117	-4.673500486	-3.181890895	0.006153365	0.174345337	-2.197269011
mir384-3p|chrX:77108500-77108544	-2.632588753	-0.723711679	-3.21284737	0.005774649	0.171225054	-2.206861347
mir_chr7_29774|chr7:124138507-124138568	2.771481844	-3.98428886	3.156652225	0.006480239	0.179615321	-2.256171679
mir_chr7_29444|chr7:80110513-80110562	-1.64396959	3.417430447	-3.244475957	0.005411568	0.168056097	-2.381469141
mir690-5p|chr14:42599971-42599993	2.737991236	-4.752333124	3.040882101	0.008213195	0.218162986	-2.456739777
mir_chr2_17338|chr2:45334341-45334391	-6.73605042	-2.735230335	-3.049453015	0.008070577	0.218162986	-2.495684673
"mir10d-3p,mir10b-1-3p,mir10b-3p,mir10b-2-3p|chr3:68113716-68113770"	-2.630954051	-1.855221251	-2.93097084	0.010276832	0.26740737	-2.672167774
mir5132-3p|chr1:152464666-152464701	-2.571257055	-4.918804547	-2.90881669	0.010750486	0.26876214	-2.696154324
mir_chr7_29027|chr7:12625904-12625962	-2.675906898	-4.064086835	-2.854768187	0.011997315	0.288614654	-2.779034718
"mir6318-3p,rno-mir-6318-3p|chr19:48128346-48128400"	2.399621438	-3.160932969	2.863627302	0.011783693	0.288614654	-2.801524303
mir_chr13_9316|chr13:65535627-65535681	2.553884824	-4.798066877	2.804529783	0.013281973	0.307900279	-2.880901923
mir_chr16_12716|chr16:48676142-48676198	-2.472329953	-2.775432877	-2.76072659	0.01451043	0.330371406	-2.948413917
mir329-3p|chr6:143024387-143024435	-2.402123688	-5.015064336	-2.736553964	0.015234822	0.334903417	-3.006550764
mir_chr4_22395|chr4:185262420-185262491	2.488601664	-4.867671217	2.701539702	0.016346522	0.353251114	-3.061824501
mir872-3p|chr5:117604967-117605007	1.312846593	6.154918176	2.919127229	0.01052745	0.268449965	-3.13459233
mir201-3p|chr1:151058647-151058687	2.331261394	-2.521460527	2.683455291	0.016951007	0.360208894	-3.147289837
mir_chr13_8617|chr13:53990399-53990448	-2.483859621	-5.015064336	-2.656661143	0.017886443	0.363294934	-3.148640928
mir_chr16_12608|chr16:20150525-20150588	2.337139482	-3.186319438	2.669308404	0.017438862	0.363294934	-3.150494243
"mir135a-5p,mir135-1-5p,mir135a-2-5p|chr7:32974125-32974175"	-2.296272397	-5.075979586	-2.654860958	0.017951044	0.363294934	-3.152118619
mir582-3p|chr2:59928647-59928687	1.674798587	2.718584164	2.829491105	0.012627783	0.298155986	-3.178774015
mir_chrX_33254|chrX:40261795-40261859	-2.404684559	-5.015064336	-2.576968074	0.02097164	0.405133964	-3.289062181
mir_chr1_821|chr1:142008319-142008394	2.271408745	-4.422813759	2.55873061	0.021746315	0.410861795	-3.315782634
"mir450a-3p,mir450-1-3p|chrX:152778729-152778774"	2.269531751	-2.299377506	2.554896467	0.021912629	0.410861795	-3.386240233
mir363-3p|chrX:140166944-140166987	1.329639704	3.893983317	2.747675432	0.014897291	0.333228875	-3.386879882
mir_chr18_15077|chr18:78524088-78524140	2.358844688	-4.403285598	2.511093324	0.023901087	0.434873281	-3.400402674
mir666-3p|chr6:143028743-143028792	-2.299371159	-2.358317014	-2.49185549	0.024827808	0.434873281	-3.43682785
mir_chr8_31511|chr8:114538901-114538964	2.374573392	-4.836512916	2.485185979	0.025157009	0.434873281	-3.440018648
mir3568-3p|chr10:9621963-9622013	-2.21093855	-5.186516301	-2.489329016	0.024952027	0.434873281	-3.44293826
mir_chr4_23906|chr4:239656716-239656779	-2.112992696	-5.184663717	-2.477381223	0.025547524	0.434873281	-3.463600447
mir_chr2_25339|chr2:53827225-53827291	-2.21326283	-1.902000609	-2.476721806	0.025580781	0.434873281	-3.488567289
mir_chr1_1914|chr1:273937163-273937228	2.537087666	-3.528739387	2.461678487	0.026350764	0.442068738	-3.511606969
mir485-5p|chr6:143047655-143047694	-2.709213627	-3.510317099	-2.431893114	0.027940755	0.448289757	-3.513154611
"mir218a-3p,mir218a-1-3p,mir218-2-3p,mir218a-2-3p|chr10:20303212-20303267"	-2.134642002	-5.172903446	-2.426639743	0.028230469	0.448289757	-3.550891542
mir146b-3p|chr1:273520470-273520523	-2.546783104	-3.085703904	-2.405188636	0.029443268	0.448289757	-3.560296041
mir7b-5p|chr9:9803959-9804014	-2.658370938	-4.888288206	-2.418630297	0.028677662	0.448289757	-3.56323489
mir_chr10_4344|chr10:35527826-35527886	2.19059351	-4.454749822	2.407755299	0.029295598	0.448289757	-3.573793531
"mir153a-3p,mir153-3p,mir153-1-3p,mir153-2-3p|chr6:154028775-154028818"	-1.486744871	2.130956131	-2.583931764	0.020682878	0.405133964	-3.584734996
mir_chr17_13514|chr17:77777779-77777850	2.101686356	-3.476950378	2.403611017	0.029534384	0.448289757	-3.601012437
mir_chr7_28209|chr7:13016627-13016719	-2.555907827	-4.958319483	-2.376529082	0.0311407	0.466446468	-3.63516626
mir764-3p|chrX:118264721-118264775	-2.315904051	-4.312871952	-2.347941317	0.032925633	0.466446468	-3.658827024
mir_chrX_33892|chrX:38330478-38330542	2.004206182	-3.770994217	2.354191494	0.032527342	0.466446468	-3.673463464
mir_chr17_13056|chr17:19783972-19784035	2.046062016	-2.497837117	2.370530574	0.031507487	0.466446468	-3.69548789
mir_chr5_25761|chr5:143903374-143903444	1.739264917	-1.168209683	2.413669138	0.028958016	0.448289757	-3.703895494
mir_chr16_18799|chr16:60550841-60550897	-2.193029117	-3.245290473	-2.298328985	0.036253914	0.486565687	-3.733779329
"mir3590-3p,mir130a-3p|chr3:78661696-78661740"	1.062795345	9.513171528	2.633956826	0.018717852	0.372894712	-3.746336888
mir1912-3p|chrX:118272277-118272321	-2.186943271	-4.381079335	-2.269697805	0.038315744	0.50363478	-3.788722712
mir7670-3p|chr4:66048385-66048419	1.696705139	-1.176657498	2.351979632	0.032667771	0.466446468	-3.810696706
"mir3579-3p,mir380-3p|chr6:143022643-143022699"	-2.412847116	-5.087578352	-2.250696769	0.039744098	0.517078829	-3.84736223
mir_chr17_14081|chr17:73474620-73474679	-1.222538634	4.927611377	-2.502217699	0.024324467	0.434873281	-3.871452157
mir296-5p|chr3:178408826-178408865	-1.875871075	-5.332056836	-2.219063642	0.042232797	0.527909965	-3.902786825
mir_chr12_11310|chr12:39764251-39764315	-1.875871075	-5.332056836	-2.219063642	0.042232797	0.527909965	-3.902786825
mir675-3p|chr1:222640799-222640841	-1.874638853	-5.333213306	-2.204562746	0.043421498	0.537499122	-3.92671681
"mir106a-3p,mir17-2-3p,mir17a-2-3p,mir20b-3p|chrX:140167737-140167778"	1.705917371	-1.975981896	2.228822683	0.041449937	0.527909965	-3.963669242
mir_chr20_18536|chr20:7204479-7204537	1.604806047	-1.225889298	2.237675476	0.040751492	0.524829825	-4.002968171
"rno-mir-155-3p,mir155-3p|chr11:27810394-27810436"	1.97164404	-4.552993726	2.137387757	0.049344315	0.567973732	-4.015029489
mir_chr12_11547|chr12:4437588-4437640	-2.306286241	-3.51765712	-2.122252113	0.050778086	0.567973732	-4.01766103
mir_chr3_19644|chr3:64164021-64164080	-1.937257846	-4.521842288	-2.11850739	0.051138697	0.567973732	-4.033749264
mir_chr10_5925|chr10:62337509-62337569	2.1252309	-4.649049336	2.117780846	0.051208934	0.567973732	-4.051094695
mir_chr10_5923|chr10:62319740-62319800	2.1252309	-4.649049336	2.117780846	0.051208934	0.567973732	-4.051094695
mir_chr10_5927|chr10:62356684-62356748	1.873041522	-3.030636662	2.13978662	0.049120536	0.567973732	-4.054210235
mir3569-5p|chr1:90197441-90197479	2.135469119	-3.316011477	2.134747015	0.049591745	0.567973732	-4.059119444
mir_chr8_30576|chr8:114131011-114131097	2.61727024	-4.846119719	2.11297266	0.051676005	0.567973732	-4.064734432
mir_chr5_25235|chr5:62085162-62085220	-2.102179818	-4.371961236	-2.098372061	0.053118461	0.567973732	-4.066604515
mir_chr16_12502|chr16:6923030-6923102	2.000192093	-4.277399414	2.108173587	0.052146099	0.567973732	-4.069850036
"rno-mir-1839-5p,mir1839-5p|chr1:144303942-144303982"	1.089312401	6.297284579	2.421533221	0.028514812	0.448289757	-4.076281838
mir_chr2_17449|chr2:62398200-62398267	2.003698531	-5.045348138	2.081031076	0.054879708	0.567973732	-4.101085746
mir_chr2_17451|chr2:63005231-63005298	2.003698531	-5.045348138	2.081031076	0.054879708	0.567973732	-4.101085746
mir_chr8_30304|chr8:62151732-62151788	1.915250582	-5.089231875	2.075822437	0.055419103	0.567973732	-4.106890739
mir_chr1_3360|chr1:206246086-206246130	1.93493133	-4.544136292	2.078527153	0.055138405	0.567973732	-4.109843875
mir34c-3p|chr8:54088380-54088418	1.683126093	-1.169603948	2.167362979	0.046614568	0.560694091	-4.126016309
mir3593-3p|chr6:86193847-86193892	-2.0128599	-5.332056836	-2.079978091	0.054988363	0.567973732	-4.128872374
mir743b-3p|chrX:151248557-151248595	-2.106743748	-2.191357219	-2.083240424	0.054652372	0.567973732	-4.129998194
mir_chr5_26039|chr5:170636302-170636358	1.553840529	-0.703299571	2.174397008	0.045994583	0.558505648	-4.150306521
mir489-3p|chr4:28564160-28564213	-1.811350221	-1.920646199	-2.07975607	0.055011298	0.567973732	-4.158342629
mir_chr20_19007|chr20:6889472-6889541	2.060069256	-3.434408467	2.067883054	0.056250648	0.569202981	-4.160974396
"mir34-5p,mir34a-5p|chr5:170733241-170733292"	1.167808994	3.779639681	2.324098567	0.03448757	0.475618724	-4.16143521
"mir9a-1-3p,mir3597-1-3p,mir9a-4-3p,mir9-1-3p,mir9-2-3p,mir9-3p,mir9-3-3p|chr2:206985806-206985860"	-1.461425955	5.602518462	-2.352158134	0.032656417	0.466446468	-4.1679624
mir_chr9_32784|chr9:73130820-73130885	1.840696475	-2.76077173	2.073284359	0.055683699	0.567973732	-4.173946374
mir_chr3_29857|chr3:9453205-9453288	-2.817511167	-0.486625631	-2.113965932	0.051579197	0.567973732	-4.19759865
mir423-3p|chr10:62796788-62796842	1.218061445	5.626923513	2.341928223	0.033313148	0.466750147	-4.201240356
mir_chr3_19655|chr3:65855047-65855098	1.856329221	-4.661699363	2.015497389	0.062029816	0.606030026	-4.204280829
"mir539-3p,mir3576-3p|chr6:143040168-143040225"	-2.018892819	-4.455523385	-1.99605207	0.064309288	0.614409726	-4.228189558
mir_chr15_12000|chr15:111340350-111340422	-1.88041785	-4.571914537	-1.983806966	0.065783513	0.616720438	-4.247065558
"mir106a-3p,mir20-3p,mir20a-2-3p,mir20a-3p,mir20b-3p|chrX:140167363-140167401"	1.617187055	-2.005137161	2.0413768	0.059110273	0.588793734	-4.269049562
mir532-5p|chrX:16894983-16895031	1.244775671	7.017581804	2.321050642	0.034692189	0.475618724	-4.27430332
mir8112-5p|chr4:163912824-163912883	-1.810674642	-4.436056535	-1.951331818	0.069842865	0.640644982	-4.289456488
"mir153a-5p,mir153-5p,mir153-1-5p,mir153-2-5p|chr6:154028731-154028774"	-1.904519005	-4.550678717	-1.954217124	0.069473243	0.640644982	-4.292260088
mir_chr5_25185|chr5:53084200-53084265	-2.01336304	-3.917464182	-1.94123874	0.071149855	0.642297812	-4.297923944
mir483-3p|chr1:222726906-222726942	-2.191539539	-5.141838756	-1.962879792	0.068374114	0.636328437	-4.31037574
mir877-5p|chr20:5416399-5416441	1.879356538	-1.995554235	2.013447352	0.062266614	0.606030026	-4.315253332
mir433-3p|chr6:142874569-142874631	-2.230439818	-3.601398963	-1.929372024	0.072714721	0.642297812	-4.315467992
"mir24-2-5p,mir3074-2-5p,mir24-5p|chr19:36295104-36295158"	-0.975914701	8.32565809	-2.306784188	0.03566521	0.483756837	-4.318586705
mir_chr16_12419|chr16:81024166-81024218	1.750043083	-3.550102109	1.940322742	0.071269557	0.642297812	-4.344242048
mir147-5p|chr3:121313446-121313487	1.716116554	-3.880579267	1.927815398	0.072922279	0.642297812	-4.351929273
"mir124-3p,mir124-1-3p,mir124-2-3p,mir124a-1-3p,mir124-5-3p,mir124-6-3p|chr15:51712793-51712835"	-1.685348365	3.459358092	-2.18800357	0.044816931	0.549438336	-4.358606614
mir_chr13_9453|chr13:91280692-91280754	1.858708164	-3.781098572	1.915093519	0.07463869	0.647376396	-4.382437268
rno-mir-6216-5p|chr3:51470070-51470109	1.456340726	-0.075281595	2.058081436	0.057293002	0.575185645	-4.390984087
"mir496a-3p,mir496-3p|chr6:143051673-143051718"	-1.892540001	-3.396336808	-1.875561015	0.080206411	0.657505767	-4.396838134
"mir3102-5p,rno-mir-3102-5p|chr1:172118749-172118817"	1.668503417	-3.921000349	1.891573182	0.077907918	0.653503917	-4.402677632
"mir9b-5p,mir9a-3-5p,mir3597-3-5p,mir9-3-5p,mir9-7-5p|chr1:142191225-142191282"	-1.995760269	-5.259927795	-1.901340219	0.076535051	0.650547931	-4.406159916
mir_chr2_25031|chr2:275603119-275603171	2.176420179	-5.006580293	1.873903568	0.080447764	0.657505767	-4.423807327
mir666-5p|chr6:143028693-143028742	-1.810380874	-5.479449955	-1.880673092	0.079466079	0.657505767	-4.44445844
mir_chr7_29839|chr7:134118791-134118850	-1.810380874	-5.479449955	-1.880673092	0.079466079	0.657505767	-4.44445844
"rno-mir-6331-3p,mir6331-3p|chr6:143040996-143041057"	-1.356387735	0.690099398	-2.031679129	0.060189281	0.594894058	-4.461039905
mir_chr13_8614|chr13:53878918-53878978	1.742102453	-5.162457455	1.841741986	0.08526127	0.676795766	-4.462683116
mir_chr10_4595|chr10:56002373-56002451	-1.787981638	-5.491228693	-1.867534085	0.081381326	0.660899301	-4.464801191
mir_chr9_32394|chr9:3486018-3486076	1.740452444	-5.163099366	1.840110381	0.085512167	0.676795766	-4.46506671
mir_chr7_28162|chr7:11843001-11843077	1.72764008	-5.168286724	1.823944978	0.088033687	0.679325138	-4.488673377
"mir126a-3p,mir126b-3p,mir3567-3p,mir126-3p|chr3:9402711-9402770"	-0.976715152	14.36252551	-2.274739685	0.037944874	0.50363478	-4.489460989
mir_chr10_6240|chr10:88585271-88585354	-1.790910467	-4.255892479	-1.812862311	0.089800324	0.679325138	-4.490081767
mir134-5p|chr6:143046901-143046941	-1.40458064	-0.989661652	-1.918614726	0.074160014	0.647376396	-4.501922125
mir_chr7_28664|chr7:117408326-117408375	-1.771273671	-4.60098647	-1.812195128	0.089907672	0.679325138	-4.505552389
mir_chr8_30733|chr8:127217455-127217506	1.704402097	-5.177397093	1.799830303	0.091917836	0.679325138	-4.523568873
mir_chr5_25563|chr5:119156455-119156526	1.672504006	-5.184663717	1.79503591	0.092707901	0.679325138	-4.530175417
mir_chr1_2664|chr1:102592088-102592143	1.672504006	-5.184663717	1.79503591	0.092707901	0.679325138	-4.530175417
mir_chr4_23908|chr4:240772557-240772602	1.46063827	-1.167879701	1.905145829	0.076006034	0.650387207	-4.549162579
mir3585-3p|chr1:151063702-151063761	1.310924155	-0.424474598	1.938041727	0.071568428	0.642297812	-4.557888407
mir_chr7_28834|chr7:136948303-136948360	1.661494123	-3.016287958	1.795898772	0.092565269	0.679325138	-4.584228138
mir_chr11_6691|chr11:50445164-50445231	1.58537267	-2.809620056	1.785137851	0.094358006	0.68255937	-4.608049026
mir19a-5p|chr15:103641183-103641227	-1.271534018	1.856098899	-1.989825373	0.065055147	0.614409726	-4.609222025
mir_chr12_12094|chr12:54394801-54394863	-1.465069823	-5.602271724	-1.765600546	0.097691283	0.68255937	-4.618950844
mir_chr12_12092|chr12:54361673-54361735	-1.465069823	-5.602271724	-1.765600546	0.097691283	0.68255937	-4.618950844
mir770-3p|chr6:142845087-142845134	-1.711083261	-4.66388742	-1.703601923	0.108963619	0.72231855	-4.662270785
mir325-5p|chrX:77141057-77141106	-1.954385933	-3.37799013	-1.69097189	0.111394284	0.72231855	-4.664788235
"mir18-3p,mir18-1-3p,mir18-2-3p,mir18a-3p,mir18b-3p|chr15:103641084-103641134"	1.966393591	-3.362637848	1.730589447	0.103924235	0.693735078	-4.671279556
"mir26a-1-3p,mir26a-3-3p,mir26-2-3p,mir26a-3p,mir26-3-3p|chr8:126931636-126931681"	-1.259411051	-0.600251663	-1.832089109	0.086755204	0.676795766	-4.673951268
mir_chr6_27659|chr6:104811261-104811314	1.558570572	-1.50582835	1.802020126	0.091558961	0.679325138	-4.678660454
mir130b-3p|chr11:91182360-91182401	1.010704946	2.908568818	1.991657694	0.064834853	0.614409726	-4.685816815
mir3064-5p|chr10:94727784-94727817	1.75735584	-3.881560836	1.698063296	0.110023793	0.72231855	-4.690217156
mir_chr5_24924|chr5:164030445-164030505	-1.571861634	-1.492952138	-1.755282913	0.09949306	0.68255937	-4.696553511
mir431-3p|chr6:142873658-142873715	-1.881543766	-2.98009817	-1.679218102	0.113698505	0.723661454	-4.697190751
rno-mir-6216-3p|chr3:51470031-51470070	1.484989087	-3.549215309	1.69260972	0.111076444	0.72231855	-4.702627558
mir653-5p|chr4:28563568-28563616	-1.434118175	-1.681471959	-1.733849331	0.103329526	0.693735078	-4.719243461
mir_chr10_5414|chr10:13884175-13884239	1.631962224	-3.486004703	1.683711307	0.112812816	0.723661454	-4.720961947
mir8102-3p|chr10:85475381-85475450	1.556674235	-5.23497147	1.654856889	0.118606156	0.723661454	-4.727117091
mir_chr9_32384|chr9:119464959-119465020	1.556674235	-5.23497147	1.654856889	0.118606156	0.723661454	-4.727117091
"mir3581-3p,mir409-3p|chr6:143055774-143055814"	1.556674235	-5.23497147	1.654856889	0.118606156	0.723661454	-4.727117091
mir_chr4_23770|chr4:224876391-224876450	1.556674235	-5.23497147	1.654856889	0.118606156	0.723661454	-4.727117091
mir_chr5_24477|chr5:121857861-121857923	1.309926509	-1.194584904	1.779134647	0.095371382	0.68255937	-4.7373115
mir488-5p|chr13:81112941-81112993	-1.5351212	-5.551963971	-1.668050998	0.11592589	0.723661454	-4.757136926
mir760-3p|chr2:243908734-243908793	-1.720221978	-4.070350876	-1.604571512	0.129316688	0.743137096	-4.775827538
mir_chr1_1408|chr1:223449583-223449644	-1.550338603	-5.551963971	-1.652010719	0.119191298	0.723661454	-4.779568198
mir_chr1_2805|chr1:129273868-129273917	-1.550338603	-5.551963971	-1.652010719	0.119191298	0.723661454	-4.779568198
"mir743-3p,mir743a-3p|chrX:151248067-151248105"	-1.550338603	-5.551963971	-1.652010719	0.119191298	0.723661454	-4.779568198
"mir133c-5p,mir133-5p,mir133-2-5p,mir133a-2-5p|chr3:181337076-181337128"	-1.550338603	-5.551963971	-1.652010719	0.119191298	0.723661454	-4.779568198
mir384-5p|chrX:77108544-77108588	-1.30314575	0.443641755	-1.814856194	0.089480188	0.679325138	-4.785647736
mir_chr8_30085|chr8:36689158-36689225	1.484223728	-3.444989457	1.633776638	0.122999418	0.738045344	-4.790272617
mir547-5p|chr1:151058308-151058348	1.298832302	-1.350764179	1.73281468	0.103517957	0.693735078	-4.793072305
mir135b-3p|chr13:54046578-54046626	-1.493284582	-5.579629602	-1.638207171	0.122064613	0.737594225	-4.799475954
mir379-5p|chr6:143019870-143019913	-1.59000074	-2.502665902	-1.618123778	0.126351484	0.743137096	-4.81018622
"mir200b-5p,mir200c-5p|chr5:176964213-176964261"	-1.303736708	-0.204379304	-1.76120988	0.098454491	0.68255937	-4.813877021
mir147-3p|chr3:121313488-121313529	1.04979948	2.861149752	1.908906373	0.075486511	0.650306089	-4.817443842
mir5132-5p|chr1:152464630-152464665	-1.82226777	-4.15897204	-1.572522901	0.136566323	0.743137096	-4.827634267
mir_chr14_10018|chr14:60346637-60346696	-1.48270042	-4.845464954	-1.578025217	0.135297603	0.743137096	-4.836207839
mir_chr20_18501|chr20:6470915-6470977	1.594715652	-3.867778804	1.583728727	0.133993089	0.743137096	-4.848645209
"mir21-3p,mir21a-3p|chr10:76197126-76197172"	1.125201111	7.73730251	1.994803779	0.064458188	0.614409726	-4.850696654
"rno-mir-3075-5p,mir3075-5p|chr16:1800321-1800377"	1.429239466	-2.903932926	1.608257869	0.128504283	0.743137096	-4.85172412
mir_chr2_17167|chr2:261982555-261982617	1.410075464	-1.461696217	1.67758045	0.114022811	0.723661454	-4.863612123
mir_chr4_23656|chr4:217540298-217540353	-1.462739685	-5.610231926	-1.591625687	0.132204587	0.743137096	-4.864239705
"rno-mir-6329-5p,mir6329-5p|chr8:55210074-55210119"	0.891240281	4.843495255	1.926892163	0.073045634	0.642297812	-4.881289751
rno-mir-466b-2-5p|chr17:73751818-73751859	1.018935731	1.849863734	1.830172947	0.087054514	0.676795766	-4.884399833
rno-mir-466b-2-5p|chr17:73500759-73500800	1.018935731	1.849863734	1.830172947	0.087054514	0.676795766	-4.884399833
"mir129-5p,mir129-1-5p,mir129-2-5p|chr4:56049086-56049128"	-2.195321836	-0.717369285	-1.658784854	0.117802683	0.723661454	-4.88916942
mir495-3p|chr6:143030665-143030705	-1.574125171	-4.698071836	-1.53096019	0.146479858	0.750047464	-4.897467131
"mir129-3p,mir129-1-3p,mir129-2-3p|chr4:56049129-56049171"	-1.767754776	-4.294900015	-1.516158348	0.150153958	0.762734246	-4.900874495
"rno-mir-103-2-5p,mir103-1-5p,mir103-5p,mir103-2-5p|chr3:130329251-130329294"	1.621491355	-3.628632426	1.548298871	0.142272694	0.743137096	-4.905391842
mir383-3p|chr16:57201685-57201722	-1.387503981	-5.649049336	-1.555942862	0.14045061	0.743137096	-4.913451675
mir_chr11_6631|chr11:36551339-36551398	-1.387503981	-5.649049336	-1.555942862	0.14045061	0.743137096	-4.913451675
mir323-5p|chr6:143023369-143023412	-1.387503981	-5.649049336	-1.555942862	0.14045061	0.743137096	-4.913451675
mir_chr18_14595|chr18:70273153-70273215	-1.387503981	-5.649049336	-1.555942862	0.14045061	0.743137096	-4.913451675
mir_chr3_20410|chr3:170374937-170375002	1.53741245	-4.199752517	1.523400129	0.148346842	0.756568896	-4.914427076
mir92b-3p|chr2:207955679-207955722	-1.416680237	2.266621762	-1.810980415	0.09010341	0.679325138	-4.914644895
mir_chr18_14571|chr18:69337765-69337811	-1.385747041	-5.650205807	-1.554500925	0.140792802	0.743137096	-4.915415307
mir_chr20_28048|chr20:16378723-16378814	-1.14354271	0.552291251	-1.733841642	0.103330925	0.693735078	-4.920956194
mir_chr11_10485|chr11:71919213-71919274	-1.380430862	-5.653703292	-1.550121073	0.141836534	0.743137096	-4.921371739
mir_chr7_41353|chr7:123043259-123043327	-1.403435626	-5.649049336	-1.546891543	0.142610327	0.743137096	-4.925537702
