feature	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mir_chr6_27733|chr6:115745872-115745941	-3.286088514	-3.268158903	-3.134586569	-3.231920336	-3.940248236
mir_chr8_31032|chr8:47872601-47872688	-4.871051015	-3.630728983	-4.71954907	-5.106389454	-3.940248236
mir_chr12_8078|chr12:10256707-10256764	0.563243603	0.046054227	0.010547396	-0.455242064	-1.201264281
"rno-mir-3099-3p,mir3099-3p|chr1:71529855-71529919"	-4.871051015	-1.537941644	-3.982583475	-1.650459524	-6.262176331
mir_chr17_14081|chr17:73474620-73474679	5.771578362	4.900206789	5.593159965	3.981798089	4.391313678
mir743b-3p|chrX:151248557-151248595	-0.964160419	-2.978652286	-0.03772503	-3.521426953	-3.454821409
"mir29a-1-3p,mir29a-2-3p,mir29a-3p,mir3556a-3p|chr4:58099661-58099720"	10.8635533	11.44520947	11.52249786	11.22953655	11.23948377
mir154-5p|chr6:143050942-143050984	-2.063696093	-0.656724191	-2.217048729	-1.481898589	-2.802744712
mir_chr1_2|chr1:2915441-2915496	0.417307547	-0.171297364	0.476848143	-6.691351954	-4.67721383
mir666-3p|chr6:143028743-143028792	-1.707552283	-0.71016345	-1.912194148	-2.784461359	-4.67721383
mir6516-3p|chr14:80312516-80312653	-1.325082646	-1.562303842	0.239293606	-2.372312139	-0.742382844
mir3557-5p|chr18:55956639-55956695	13.40387771	13.79938762	13.54974782	14.0376443	13.11860896
mir540-3p|chr6:142868420-142868462	-3.286088514	-3.268158903	-2.845079952	-2.784461359	-4.67721383
mir_chr1_3445|chr1:222799859-222799921	-3.644542485	-4.853121404	-4.424805804	-3.521426953	-5.530993089
mir23a-5p|chr19:36294769-36294806	-4.871051015	-6.438083905	-6.30451157	-4.369423859	-6.262176331
mir_chr20_19118|chr20:16276308-16276364	-4.871051015	-6.438083905	-6.30451157	-2.598806213	-3.092251329
"mir106a-5p,mir20-5p,mir20a-2-5p,mir20a-5p,mir20b-5p|chrX:140167402-140167440"	-1.623123502	0.352166834	-0.000365629	0.557903746	0.154325662
mir484-5p|chr10:27869-27921	-4.871051015	-6.438083905	-6.30451157	-5.106389454	-4.67721383
mir449b-5p|chr2:63935045-63935085	-2.566539973	-2.190156391	-3.134586569	-2.990912236	-3.454821409
mir_chr1_1408|chr1:223449583-223449644	-4.871051015	-6.438083905	-3.497156648	-6.691351954	-6.262176331
mir345-5p|chr6:141919043-141919091	3.928554407	4.433174516	3.823431179	4.536444465	3.62431285
mir_chr6_26717|chr6:118424436-118424501	-3.276502466	-6.438083905	-4.653747011	-5.087280631	-5.32107002
mir872-5p|chr5:117604926-117604966	9.554332756	8.997618257	10.06791142	9.465595405	9.986317961
mir_chr7_28834|chr7:136948303-136948360	-4.871051015	-4.11615581	-2.056584057	-2.167789998	-1.869858908
mir_chr18_15058|chr18:70647393-70647459	-4.871051015	-5.438083905	-5.30451157	-4.106389454	-4.262176331
mirlet7i-5p|chr7:67000235-67000280	11.91580183	10.69489069	12.25715638	11.50696301	11.92748774
mir_chr14_10170|chr14:86799509-86799588	-2.063696093	-2.737644187	-4.71954907	-3.521426953	-2.561736613
mir_chr1_2666|chr1:102836370-102836444	-0.473248053	-3.681060658	-0.803709517	3.930846324	1.714416432
mir_chr5_25884|chr5:156741047-156741110	-4.871051015	-4.843535355	-6.30451157	-3.673430046	-4.696579155
mir_chr11_10165|chr11:91758312-91758371	-2.063696093	-1.0805319	-3.982583475	-2.055597563	-3.940248236
mir1291-3p|chr6:84014833-84014863	-4.871051015	-6.438083905	-6.30451157	-5.705851524	-6.262176331
mir667-3p|chr6:143031953-143031999	-4.871051015	-1.153421719	-6.30451157	-6.691351954	-4.67721383
mir294-5p|chr1:63523139-63523178	-0.783588174	-2.978652286	-2.295522787	-2.443424441	-2.174713489
"rno-mir-128-2-3p,mir128-2-3p|chr8:119718184-119718226"	3.022675222	4.13544968	2.532233132	3.551226735	1.876453859
mir_chr12_7541|chr12:10190579-10190636	-4.871051015	-6.438083905	-6.30451157	-5.106389454	-4.67721383
mir_chr4_23906|chr4:239656716-239656779	-4.871051015	-4.11615581	-3.982583475	-6.691351954	-6.262176331
"mirlet7b-1-5p,mirlet7b-2-5p,mirlet7b-5p|chr7:126301332-126301382"	8.697180648	8.656903428	8.296011174	8.484857044	7.357880793
mir331-5p|chr7:34938797-34938845	0.905052973	0.401371861	0.548735597	1.442971679	0.17811149
mir32-3p|chr5:78089036-78089076	0.683537837	0.480540851	0.565606514	-0.714530102	0.137678343
mir_chr5_25182|chr5:52645996-52646055	-4.871051015	-6.438083905	-6.30451157	-3.521426953	-6.262176331
mir_chr1_581|chr1:90162449-90162503	-2.063696093	-2.978652286	-1.260992077	-1.738086715	-1.872609519
"mir135a-5p,mir135-1-5p,mir135a-2-5p|chr7:32974125-32974175"	-4.871051015	-3.634856868	-3.920461764	-6.691351954	-6.262176331
"mir450a-3p,mir450-1-3p|chrX:152778729-152778774"	-4.871051015	-1.691771138	-3.153951894	-1.136763103	-0.643350378
mir421-5p|chrX:75245495-75245534	-3.286088514	-2.978652286	-2.397620975	-2.784461359	-1.738614375
"mir3596b-3p,mirlet7d-3p|chr17:18476092-18476142"	10.62075637	9.38544356	10.35112648	10.76027709	9.614976451
mir_chr13_9316|chr13:65535627-65535681	-4.78698675	-6.438083905	-6.30451157	-3.607287689	-2.85346447
mir_chr8_30085|chr8:36689158-36689225	-4.871051015	-3.268158903	-3.982583475	-3.231920336	-1.871233558
mir_chr3_21209|chr3:98496981-98497025	-4.871051015	-6.438083905	-6.30451157	-5.106389454	-4.67721383
"mir3549-3p,mir193a-1-3p,mir193a-3p,mir193a-2-3p,mir193-3p|chr10:64583956-64584012"	8.551400136	7.867405037	7.496313524	10.05894417	10.42531117
mir_chrX_33873|chrX:33863499-33863559	-3.286088514	-2.352319351	-3.982583475	-3.226683687	-6.262176331
mir_chr10_4334|chr10:35462010-35462076	-3.286088514	-4.11615581	-4.709963021	-3.231920336	-4.686864
mir_chr7_28368|chr7:53610418-53610469	3.30347525	-1.728793269	-1.265373176	5.863649311	6.350300577
mir_chr20_18618|chr20:12841738-12841782	-4.871051015	-6.438083905	-3.497156648	-5.116039624	-3.940248236
mir674-3p|chr3:115421275-115421325	2.889569146	4.338891887	2.757912399	4.603670764	3.668708816
mir22-5p|chr10:62013641-62013688	4.324887085	6.43587152	4.772864966	4.53024725	5.208126655
"mir3553-3p,mir183-3p,mir183-1-3p,mir183-2-3p|chr4:57225369-57225424"	-0.783588174	-1.634856868	-1.913568798	-0.761087709	-1.871233558
mir_chr4_23408|chr4:165142436-165142498	-4.871051015	-4.853121404	-4.709963021	-6.691351954	-4.67721383
mir6516-5p|chr14:80312653-80312790	-3.266979691	-1.978652286	-2.712353568	-2.157788606	-2.202128947
mir_chr2_17413|chr2:49983142-49983211	-0.012075401	-0.523997808	-0.850335677	-0.306956716	0.371836026
"mir692-1-3p,mir692-2-3p,mir692-3-3p|chr17:44192185-44192232"	-4.448818014	-3.968197928	-3.30451157	-4.573656912	-4.67721383
mir708-3p|chr1:167436286-167436330	-0.898358361	-0.270565401	-1.407271145	-0.892264648	-0.008565179
mir_chr3_21693|chr3:166050482-166050536	-2.063696093	-3.268158903	-3.505424264	-2.784461359	-2.802744712
mir298-3p|chr3:178409240-178409281	-4.871051015	-4.853121404	-6.30451157	-4.369423859	-6.262176331
mir449a-5p|chr2:63935153-63935198	0.555884605	-0.342581387	0.828682028	0.103063912	1.535874184
mir_chr1_2740|chr1:118275207-118275263	-4.871051015	-4.681060658	-3.793549651	-5.925817208	-4.029515574
mir_chrX_33685|chrX:153214448-153214513	-4.139867774	-5.706900663	-6.30451157	-6.691351954	-5.530993089
mir3585-3p|chr1:151063702-151063761	-1.70433557	-0.371994714	-0.878246816	0.128827008	0.703377104
"mir34-3p,mir34a-3p|chr5:170733292-170733343"	-4.871051015	-2.978652286	-3.505424264	-3.521426953	-1.507288829
mir485-3p|chr6:143047695-143047734	-3.286088514	-2.737644187	-6.30451157	-6.691351954	-4.67721383
"rno-mir-679-3p,mir679-3p,mir1193-3p|chr6:143026862-143026989"	-4.871051015	-4.892115536	-6.30451157	-3.524636509	-4.67721383
"mir3579-3p,mir380-3p|chr6:143022643-143022699"	-2.063696093	-4.11615581	-6.30451157	-6.691351954	-6.262176331
"mir295-2-3p,mir295-3p,mir295-1-3p|chr1:63522984-63523024"	-3.286088514	-2.853121404	-3.71954907	-3.369423859	-3.454821409
mir_chr4_23246|chr4:67141049-67141112	-2.54912292	-4.11615581	-6.30451157	-5.106389454	-4.67721383
mir540-5p|chr6:142868378-142868420	-4.871051015	-3.268158903	-2.604071852	-4.369423859	-4.67721383
mir_chr2_16814|chr2:214982740-214982796	-3.286088514	-3.438083905	-6.30451157	-4.106389454	-4.328603692
mir_chr8_31635|chr8:129505919-129505986	-4.871051015	-6.438083905	-6.30451157	-6.691351954	-4.67721383
mir147-3p|chr3:121313488-121313529	2.237473442	2.254845382	2.801292202	2.920263083	4.091874653
mir181c-3p|chr19:36267310-36267363	3.68698697	3.338776773	3.609185688	3.403174441	2.995965665
mir1912-3p|chrX:118272277-118272321	-2.54912292	-3.268158903	-4.71954907	-5.106389454	-6.262176331
mir_chr2_17167|chr2:261982555-261982617	-1.414244866	-3.618415721	-0.946959566	-0.424940188	-0.903920744
mir_chr1_991|chr1:167398858-167398913	-4.871051015	-6.438083905	-6.30451157	-4.369423859	-6.262176331
mir2424-3p|chr4:224717767-224717804	0.414351204	0.571352851	0.750553902	0.674445548	1.013948075
mir_chr17_13888|chr17:45778680-45778745	-4.871051015	-6.438083905	-6.30451157	-5.106389454	-6.262176331
"rno-mir-103-2-3p,mir103-1-3p,mir103-3p,mir103-2-3p|chr3:130329294-130329337"	9.860883152	9.478610587	9.483159429	10.73585923	9.80128153
"mir3565-3p,mir218-1-3p,mir218a-2-3p|chr14:66955493-66955550"	-4.871051015	-3.277809073	-6.30451157	-4.398570205	-3.454821409
mir212-3p|chr10:61729147-61729202	-0.116163513	0.376979112	-0.576591116	1.366314923	0.180767165
mir_chr8_30728|chr8:126572519-126572573	-4.871051015	-6.438083905	-4.71954907	-6.691351954	-6.262176331
mir_chr1_3243|chr1:196484099-196484152	-4.871051015	-6.438083905	-6.30451157	-4.369423859	-6.262176331
mir_chr10_4221|chr10:17396217-17396281	-4.871051015	-6.438083905	-3.982583475	-5.106389454	-4.67721383
mir_chr19_15502|chr19:68344775-68344858	-1.710776184	-4.11615581	-1.971087837	-2.444943867	-2.561736613
mir_chr13_13141|chr13:118089806-118089864	0.173343104	-0.883495053	0.32484505	0.296196305	-1.507288829
mir291a-5p|chr1:63524809-63524850	-3.286088514	-4.081940094	-4.72919924	-4.346523457	-3.454821409
mir_chr12_7758|chr12:27530042-27530105	-3.871051015	-6.438083905	-4.30451157	-4.369423859	-4.262176331
mir_chr2_18193|chr2:230230301-230230357	-2.54912292	-1.194719479	-0.61521241	-1.523030839	-3.092251329
mir196b-5p|chr4:146865929-146865971	-1.411619396	-3.268158903	-2.71954907	-1.441906613	-1.818569679
mir744-5p|chr10:51999756-51999806	7.845691295	8.14218762	7.722705043	8.244666634	7.145173765
"mir181b-2-5p,mir181b2-5p|chr3:28375870-28375914"	7.5717992	7.156933418	7.603297324	7.964812548	7.336576405
mir_chr1_472|chr1:81505733-81505794	-4.871051015	-6.438083905	-4.71954907	-6.691351954	-6.262176331
mir671-3p|chr4:7121254-7121303	2.145088688	4.198504467	1.780828099	3.804722857	2.437292016
"mir194-1-5p,mir194-2-5p|chr1:228619886-228619928"	13.00053687	12.77243715	13.13954273	12.51966656	12.80997543
mir_chr4_22845|chr4:235717480-235717535	-4.871051015	-6.438083905	-4.72919924	-5.106389454	-6.262176331
mir_chr12_8324|chr12:33249593-33249647	-4.871051015	-4.862771574	-6.30451157	-5.116039624	-6.262176331
"mir100-1-3p,mir100-3p,mir100-2-3p,mir125b2-3p|chr8:44222190-44222231"	-2.54912292	-1.393689785	-3.982583475	-2.299034531	-1.617166446
"mir3549-5p,mir193a-1-5p,mir193a-5p,mir193a-2-5p,mir193-5p|chr10:64584012-64584068"	-2.067823979	0.741028996	-0.749922719	-0.24179058	-0.905328251
"mir107b-3p,mir103-2-3p,mir107-3p|chr1:260347508-260347552"	7.927027859	7.729738766	7.678763531	8.758864386	8.047371076
mir301b-5p|chr11:91181962-91182009	-4.871051015	-6.438083905	-6.30451157	-5.125754778	-3.940248236
mir770-5p|chr6:142845040-142845087	-4.871051015	-4.853121404	-6.30451157	-5.106389454	-6.262176331
mir423-3p|chr10:62796788-62796842	4.752464726	6.112787909	4.529422122	6.460615917	6.279326893
"mir17-3p,mir17-1-3p,mir17-2-3p|chr15:103640943-103640985"	2.916459809	2.854835851	2.95009192	3.504315529	3.314421387
mir_chr17_13034|chr17:18067953-18068010	-4.871051015	-4.853121404	-6.30451157	-6.691351954	-6.262176331
"mir205a-5p,mir205-5p|chr13:116787671-116787725"	-0.227194825	0.819303938	-0.630389938	-1.07664211	0.041604417
mir221-5p|chrX:4475294-4475348	3.832852558	2.416784479	2.652590471	2.753290268	2.768325286
mir_chr12_7655|chr12:19003539-19003595	-4.871051015	-6.438083905	-3.982583475	-4.369423859	-4.67721383
"mir145a-5p,mir145-5p|chr18:56198861-56198907"	6.035433765	6.984997855	5.086656821	7.465119877	5.185113571
mir6944-3p|chr17:11798770-11798818	-4.871051015	-0.460803981	-4.71954907	-5.106389454	-2.802744712
mir_chr4_21817|chr4:840216-840271	-4.871051015	-5.438083905	-6.30451157	-6.691351954	-6.262176331
"mir344d-1-5p,mir344d-3-5p,mir344e-5p|chr1:122340309-122340344"	-4.871051015	-4.853121404	-4.71954907	-4.369423859	-6.262176331
mir34b-3p|chr8:54088898-54088940	-3.286088514	-0.605193891	-2.397620975	-2.167789998	-2.355285735
mir_chr20_18501|chr20:6470915-6470977	-3.286088514	-6.438083905	-3.942743211	-3.175336807	-2.496641584
mir3059-5p|chr7:43355769-43355809	-3.286088514	-2.737644187	-6.30451157	-2.603889113	-3.940248236
"mir146a-5p,mir146-5p|chr10:28806786-28806833"	9.360122155	9.174555411	9.752252714	8.364393961	9.239321905
mir_chr17_13728|chr17:19601714-19601765	-4.871051015	-4.11615581	-6.30451157	-5.106389454	-4.963518015
"mir30d-3p,mir30a-3p|chr7:109228640-109228681"	8.140585086	8.115423	8.705254076	7.502644577	8.05689313
mir_chr2_17955|chr2:207937405-207937465	-3.286088514	-3.268158903	-4.71954907	-5.106389454	-4.67721383
"mir128-1-3p,mir128-3p|chr13:50001749-50001792"	4.79956983	6.318101272	5.493085114	6.199839363	5.751774375
"mir142a-3p,mir142b-3p,mir142-3p|chr10:75051445-75051501"	7.640108628	7.491829117	7.854393127	7.413697162	9.035108961
"mir181a-2-5p,mir181a2-5p|chr3:28374768-28374826"	-1.403771535	-0.753265167	-1.898519211	-0.050384044	-2.494521532
mir_chr1_609|chr1:93017948-93018022	-2.554905273	-4.11615581	-2.628695639	-3.231920336	-3.946030588
mir_chr1_1159|chr1:151049468-151049527	-2.067823979	-2.047141132	-2.606293092	-2.603889113	-1.053503011
mir34c-5p|chr8:54088419-54088457	5.929347413	5.774011169	6.106109375	6.12612741	6.727682908
mir450-2-5p|chrX:152778560-152778594	5.05746736	5.562402078	5.873605475	4.669341527	5.626673442
"rno-mir-1298-5p,mir1298-5p|chrX:118332412-118332481"	-0.478733592	-1.393689785	-1.260117451	-0.91261771	-2.014248817
mir_chr1_446|chr1:79994891-79994954	-3.286088514	-6.438083905	-6.30451157	-6.691351954	-6.262176331
mir_chr16_17850|chr16:21058327-21058381	1.059686322	1.283015284	2.07391335	1.542171859	1.602009814
mir690-3p|chr1:228245180-228245203	-4.871051015	-6.438083905	-5.005853255	-5.040587395	-5.67721383
mir_chr17_13361|chr17:57997856-57997909	2.206832849	4.35772849	1.509526077	7.016393254	7.217321024
mir_chr6_27659|chr6:104811261-104811314	-1.701126014	-1.181828031	-3.428731507	0.297332733	-1.514788931
"mir93-3p,mir93a-3p|chr12:21365172-21365215"	-0.894687379	0.892832973	-0.282587732	1.08383031	-0.480816617
mir_chr6_39456|chr6:35461582-35461639	-3.871051015	-3.853121404	-3.982583475	-3.369423859	-3.454821409
mir_chr20_18955|chr20:5437256-5437323	-4.871051015	-4.11615581	-3.497156648	-4.369423859	-3.940248236
mir_chr2_17954|chr2:207612241-207612300	-3.286088514	-3.268158903	-3.497156648	-4.369423859	-3.940248236
mir_chr17_19888|chr17:8315168-8315253	-1.266979691	-1.57216509	-0.443548772	-0.277554804	-0.735481485
"mir101a-1-5p,mir101b-5p|chr1:254503392-254503441"	-0.116163513	-0.555440855	0.236817407	-0.909992241	-0.116091392
mir_chr3_20817|chr3:52620726-52620786	-4.871051015	-2.531193309	-2.845079952	-2.784461359	-2.802744712
mir_chr6_27925|chr6:137610813-137610881	-3.295738684	-4.121938162	-3.982583475	-3.521426953	-2.616013674
mir222-3p|chrX:4474785-4474836	2.462730486	4.046215376	2.180029402	3.664087243	3.422291787
"mir101a-5p,mir101a-2-5p|chr5:124050163-124050209"	4.044708881	3.937520327	4.266349777	3.201524746	4.41899179
mir_chr10_5495|chr10:19383713-19383771	-4.871051015	-6.438083905	-3.982583475	-3.799932767	-3.940248236
mir190b-5p|chr2:208854174-208854213	1.787160468	1.833379123	1.608377766	1.60712308	2.928487909
mir_chr3_21309|chr3:116715214-116715278	-4.871051015	-6.438083905	-6.30451157	-5.515029182	-3.911679084
mir690-3p|chr18:12806753-12806776	-4.871051015	-6.438083905	-5.005853255	-5.040587395	-5.67721383
mir383-3p|chr16:57201685-57201722	-4.871051015	-4.11615581	-6.30451157	-6.691351954	-6.262176331
"mir3592-3p,mir382-3p|chr6:143046517-143046575"	-4.871051015	-1.096098157	-2.847705421	-0.965065665	-4.67721383
mir3064-5p|chr10:94727784-94727817	-4.871051015	-2.531193309	-6.30451157	-2.6055874	-3.095460886
mir547-3p|chr1:151058349-151058389	0.258232002	-0.765658563	-0.333197946	-0.760614617	0.367180289
mir_chr3_20874|chr3:66493212-66493281	-3.286088514	-4.853121404	-3.505424264	-4.381011834	-3.467240668
"mir3595-5p,mir376a-5p|chr6:143036003-143036063"	-4.871051015	-0.2891498	-1.912194148	-3.883997032	-2.561736613
mir_chr8_31128|chr8:63742305-63742358	0.224873405	-1.903275243	-0.226841296	-0.585338717	-1.558411152
mir_chr17_14102|chr17:73495657-73495718	5.107487855	4.087984907	4.843392905	3.48190043	4.342154501
mir_chr6_27935|chr6:137859272-137859335	0.083145295	-0.248259346	0.463408015	0.209514854	-1.30798002
mir541-5p|chr6:143055011-143055056	2.751000804	2.483757032	1.807562981	2.361216097	1.652268601
mir1291-3p|chr8:17764332-17764362	-4.871051015	-6.438083905	-6.30451157	-5.676996661	-6.262176331
"rno-mir-6329-5p,mir6329-5p|chr8:55210074-55210119"	4.727001485	4.450248392	4.294415589	5.170122721	5.57568809
mir_chr12_8348|chr12:39342689-39342749	-0.783588174	-4.853121404	-1.095058205	-2.047495764	-2.014248817
"mir93-5p,mir93a-5p|chr12:21365216-21365259"	7.986770622	7.924310641	8.117922497	8.280204173	8.347306016
mir3583-3p|chr5:154400903-154400948	-4.871051015	-3.630728983	-4.71954907	-5.106389454	-4.67721383
"mir31a-3p,mir3554-3p,mir31-3p|chr5:111183074-111183133"	10.45677948	10.02993104	10.08213841	10.73973278	10.38349561
mir_chr10_5864|chr10:57045287-57045364	-4.871051015	-2.350621063	-3.497156648	-2.300409181	-3.092251329
mir_chr14_9789|chr14:20202784-20202846	-0.534767627	-0.248259346	0.104879366	-0.282300516	0.479290656
mir542-3p|chrX:152784231-152784273	4.769736186	4.091658972	4.998629868	3.58960436	4.763904415
"mir34-5p,mir34a-5p|chr5:170733241-170733292"	3.188239361	3.501142673	3.228233957	4.045996805	4.934585608
mir3583-5p|chr5:154400858-154400903	-2.54912292	-4.853121404	-2.397620975	-5.593741158	-3.940248236
mir_chr16_12716|chr16:48676142-48676198	-1.424794785	-1.483887594	-2.407271145	-3.883997032	-4.67721383
mir_chr5_25235|chr5:62085162-62085220	-3.276502466	-4.66408758	-2.5886182	-6.691351954	-4.63924598
mir_chr5_24861|chr5:160334661-160334720	-2.952664781	-1.309625521	-2.359653125	-1.886059499	-1.492404591
mir615-3p|chr7:142420421-142420467	-2.54912292	-2.780443899	-4.71954907	-4.369423859	-5.085853558
mir_chr10_7445|chr10:66600871-66600941	-4.871051015	-4.11615581	-3.134586569	-3.883997032	-3.548480516
mir410-3p|chr6:143056390-143056430	2.40507339	3.390020837	1.534692218	2.81441991	-0.03374241
rno-mir-6216-3p|chr3:51470031-51470070	-4.871051015	-3.423728612	-4.102877709	-2.784461359	-2.563957852
mir3558-5p|chr6:20980703-20980760	-1.276502466	-0.102872223	-3.505424264	-0.564131404	-2.176411777
mir_chr17_14077|chr17:73466837-73466878	2.918939004	2.13108816	2.722122525	1.131123278	2.84488378
mir_chr3_19334|chr3:10343106-10343177	-4.871051015	-5.438083905	-6.30451157	-6.691351954	-6.262176331
"mir219c-3p,mir219-1-3p,mir219a-1-3p|chr20:5895488-5895543"	0.27462644	0.757854196	0.033556227	1.27443233	0.557491853
"mir3546-3p,mir208a-3p|chr15:37500033-37500091"	-4.871051015	-6.438083905	-3.497156648	-6.691351954	-4.67721383
mir_chr2_15971|chr2:8620024-8620080	-4.871051015	-6.438083905	-6.30451157	-5.106389454	-4.67721383
"mir24-2-3p,mir3074-2-3p,mir24-3p|chr19:36295050-36295104"	7.38248332	7.010148576	7.444624594	6.856386081	7.554705325
mir423-5p|chr10:62796733-62796787	5.576817419	7.286730479	6.126959917	7.314423453	6.821086909
mir690-3p|chr3:163768206-163768229	-4.871051015	-6.438083905	-5.005853255	-5.040587395	-5.67721383
mir215-5p|chr13:107924667-107924717	2.865283262	1.546163642	2.619113041	2.311013028	2.534642026
mir_chr1_3884|chr1:266275827-266275885	-2.197494591	-3.630728983	-1.338265697	-4.369423859	-3.092251329
mir_chr20_18570|chr20:8315356-8315418	-4.871051015	-3.268158903	-6.30451157	-4.369423859	-4.67721383
"mir148a-3p,mir148-3p|chr4:145680954-145681003"	16.54436505	15.83001316	16.78899633	15.27698347	16.05724115
"mir3581-5p,mir409-5p|chr6:143055814-143055854"	-0.623123502	0.595118821	-1.912194148	-0.625693483	-1.30798002
"mir195-5p,mir195a-5p|chr10:56589458-56589505"	9.46982276	8.918681661	9.421957804	10.09858739	9.577199712
"mir374-3p,mir374b-3p|chrX:75245611-75245651"	4.020793432	4.149693612	4.932064756	2.694510446	4.49519701
mir384-3p|chrX:77108500-77108544	-0.347489059	1.198540716	0.104539868	-1.481898589	-3.092251329
"mir9b-5p,mir9a-3-5p,mir3597-3-5p,mir9-3-5p,mir9-7-5p|chr1:142191225-142191282"	-4.871051015	-2.170548107	-6.30451157	-6.691351954	-6.262176331
mir487b-3p|chr6:143039521-143039562	0.173343104	1.437818998	-0.327231647	0.743109478	-1.217782211
mir_chrX_33254|chrX:40261795-40261859	-4.871051015	-2.531193309	-4.71954907	-6.691351954	-6.262176331
mir_chr4_22962|chr4:7830753-7830811	-4.871051015	-4.853121404	-6.30451157	-6.691351954	-3.940248236
mir187-3p|chr18:16149603-16149655	0.26234811	1.107730058	0.611726198	1.593125164	0.804989096
mir_chr3_20390|chr3:167541979-167542053	-3.286088514	-6.438083905	-3.982583475	-3.521426953	-4.67721383
mir_chr5_25204|chr5:54976823-54976897	-1.701126014	-2.048517093	-2.217048729	-1.936464452	-3.092251329
mir_chr4_21809|chr4:587610-587665	-4.871051015	-5.438083905	-6.30451157	-6.691351954	-6.262176331
"mir125b-3p,mir125c-3p,mir125b1-3p,mir125b-1-3p,mir125b-2-3p|chr8:44272889-44272932"	2.612442336	2.041615534	2.512855868	2.54877153	2.346189392
mir_chr1_1753|chr1:255522469-255522535	-4.871051015	-4.11615581	-4.71954907	-5.106389454	-4.67721383
mir_chr5_24472|chr5:121074194-121074251	-0.964160419	-1.081235825	-0.812658474	-1.562068937	-1.869858908
mir328-5p|chr19:48128968-48129015	-3.286088514	-3.010477732	-1.897158819	-1.568679235	-1.739869438
mir_chr5_24048|chr5:21469541-21469607	4.316152574	1.784372921	3.151226616	7.283731125	5.842959566
