featureAndLoc	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mir3553-3p,mir183-3p,mir183-1-3p,mir183-2-3p|chr4:57225369-57225424	8	13.46	9.99	29.99	9.99
mir_chr4_23408|chr4:165142436-165142498	0	1	1.01	0	1
mir6516-5p|chr14:80312653-80312790	1.02	10.5	5.53	11.08	7.84
mir_chr2_17413|chr2:49983142-49983211	14.01	29.65	21.42	41.27	49.16
mir_chr3_19910|chr3:115244615-115244669	0	0	0	0	0
mir133a-5p,mir3582-5p,mir133-1-5p,mir133a-1-5p,mir133-5p,mir133-2-5p|chr18:2085496-2085555	0	0	0	0	0
mir692-1-3p,mir692-2-3p,mir692-3-3p|chr17:44192185-44192232	0.17	2.27	3.5	1.67	1
mir_chr1_2753|chr1:122317204-122317267	0	0	0	0	0
mir708-3p|chr1:167436286-167436330	7.35	35.44	14.4	27.34	37.65
mir_chr3_21693|chr3:166050482-166050536	3	4	2.98	7	5
mir298-3p|chr3:178409240-178409281	0	1	0	2	0
mir449a-5p|chr2:63935153-63935198	21.01	33.69	69.69	55	110.78
mir_chr1_2740|chr1:118275207-118275263	0	1.19	2.35	0.35	1.85
mir_chr6_28038|chr6:146822686-146822745	0	0	0	0	0
mir_chrX_33685|chrX:153214448-153214513	0.33	0.33	0	0	0.33
mir3585-3p|chr1:151063702-151063761	3.99	33	21	56	61.99
mir34-3p,mir34a-3p|chr5:170733292-170733343	0	5	2.98	4	13
mir485-3p|chr6:143047695-143047734	1	6	0	0	1
rno-mir-679-3p,mir679-3p,mir1193-3p|chr6:143026862-143026989	0	0.96	0	3.99	1
mir3579-3p,mir380-3p|chr6:143022643-143022699	3	2	0	0	0
mir295-2-3p,mir295-3p,mir295-1-3p|chr1:63522984-63523024	1	5.5	2.5	4.5	3
mir_chr4_23246|chr4:67141049-67141112	2	2	0	1	1
mir540-5p|chr6:142868378-142868420	0	4	6	2	1
mir_chr2_16814|chr2:214982740-214982796	1	3.5	0	2.5	1.41
mir_chr8_31635|chr8:129505919-129505986	0	0	0	0	1
mir_chr5_25144|chr5:30319734-30319795	0	0	0	0	0
mir147-3p|chr3:121313488-121313529	68.5	206.42	274.98	390.66	653.91
mir181c-3p|chr19:36267310-36267363	187.95	438.13	481.77	546.17	305.66
mir1912-3p|chrX:118272277-118272321	2	4	1	1	0
mir_chr2_17167|chr2:261982555-261982617	4.99	3.03	20	37.99	20.01
mir_chr1_991|chr1:167398858-167398913	0	0	0	2	0
mir_chr20_18890|chr20:52052578-52052630	0	0	0	0	0
mir2424-3p|chr4:224717767-224717804	19	63.92	65.99	81.97	77
mir_chr17_13888|chr17:45778680-45778745	0	0	0	1	0
rno-mir-103-2-3p,mir103-1-3p,mir103-3p,mir103-2-3p|chr3:130329294-130329337	13605.3	30928.97	28282.96	88121.29	34240.99
mir_chr4_22938|chr4:4574339-4574394	0	0	0	0	0
mir3565-3p,mir218-1-3p,mir218a-2-3p|chr14:66955493-66955550	0	3.97	0	1.95	3
mir212-3p|chr10:61729147-61729202	13	55.8	26	132.72	43
mir_chr8_30728|chr8:126572519-126572573	0	0	1	0	0
mir_chr1_3243|chr1:196484099-196484152	0	0	0	2	0
mir_chr10_4221|chr10:17396217-17396281	0	0	2	1	1
mir_chr19_15502|chr19:68344775-68344858	3.97	2	9.58	8.99	6
mir_chr13_13141|chr13:118089806-118089864	16	23	49	62.95	13
mir291a-5p|chr1:63524809-63524850	1	2.06	0.99	2.04	3
mir_chr12_7758|chr12:27530042-27530105	0.5	0	1.5	2	1.5
mir_chr2_18193|chr2:230230301-230230357	2	18.44	25.3	17.48	4
mir196b-5p|chr4:146865929-146865971	5	4	5.5	18.52	10.38
mir744-5p|chr10:51999756-51999806	3365.32	12247.61	8347.51	15672.77	5431.81
mir181b-2-5p,mir181b2-5p|chr3:28375870-28375914	2783.32	6186.47	7684.39	12909.17	6202.51
mir_chr1_472|chr1:81505733-81505794	0	0	1	0	0
mir671-3p|chr4:7121254-7121303	64.22	795.48	135.3	721.61	207.36
mir194-1-5p,mir194-2-5p|chr1:228619886-228619928	119909.12	303327.9	356625.98	303432.51	275587.16
mir_chr4_22845|chr4:235717480-235717535	0	0	0.99	1	0
mir_chr12_8324|chr12:33249593-33249647	0	0.99	0	0.99	0
mir100-1-3p,mir100-3p,mir100-2-3p,mir125b2-3p|chr8:44222190-44222231	2	16	2	10	12.01
mir3549-5p,mir193a-1-5p,mir193a-5p,mir193a-2-5p,mir193-5p|chr10:64584012-64584068	2.99	71.96	23	43.2	19.99
mir107b-3p,mir103-2-3p,mir107-3p|chr1:260347508-260347552	3560.53	9202.08	8097.08	22384.06	10152
mir301b-5p|chr11:91181962-91182009	0	0	0	0.98	2
mir770-5p|chr6:142845040-142845087	0	1	0	1	0
mir423-3p|chr10:62796788-62796842	393.9	2999.76	912.16	4550.5	2980.34
mir17-3p,mir17-1-3p,mir17-2-3p|chr15:103640943-103640985	109.97	313.13	304.91	585.87	381.28
mir_chr5_24593|chr5:137257896-137257962	0	0	0	0	0
mir_chr19_15207|chr19:33731241-33731303	0	0	0	0	0
mir_chr17_13034|chr17:18067953-18068010	0	1	0	0	0
mir205a-5p,mir205-5p|chr13:116787671-116787725	12	76	25.03	24	39
mir221-5p|chrX:4475294-4475348	208	231	248	347.91	260.97
mir_chr12_7655|chr12:19003539-19003595	0	0	2	2	1
mir145a-5p,mir145-5p|chr18:56198861-56198907	959.23	5491.37	1342.43	9129.96	1395.7
mir6944-3p|chr17:11798770-11798818	0	31	1	1	5
mir_chr4_21817|chr4:840216-840271	0	0.5	0	0	0
mir344d-1-5p,mir344d-3-5p,mir344e-5p|chr1:122340309-122340344	0	1	1	2	0
mir34b-3p|chr8:54088898-54088940	1	28	7	11	7
mir_chr20_18501|chr20:6470915-6470977	1	0	2.07	5.22	6.3
mir3059-5p|chr7:43355769-43355809	1	6	0	8	2
mir146a-5p,mir146-5p|chr10:28806786-28806833	9615.18	25051.52	34082.49	17028.97	23194.05
mir_chr17_13728|chr17:19601714-19601765	0	2	0	1	0.73
mir30d-3p,mir30a-3p|chr7:109228640-109228681	4128.67	12022.48	16494.78	9370.56	10219.23
mir_chr2_17955|chr2:207937405-207937465	1	4	1	1	1
mir128-1-3p,mir128-3p|chr13:50001749-50001792	406.99	3458.61	1779.42	3797.94	2067.4
mir_chr17_14061|chr17:72244058-72244122	0	0	0	0	0
mir142a-3p,mir142b-3p,mir142-3p|chr10:75051445-75051501	2918.3	7803.04	9145.37	8810.25	20132.65
mir181a-2-5p,mir181a2-5p|chr3:28374768-28374826	5.03	25.22	10.1	49.4	6.31
mir_chr1_609|chr1:93017948-93018022	1.99	2	5.89	5	1.99
mir_chr1_1159|chr1:151049468-151049527	2.99	9.99	5.99	8	17.99
mir34c-5p|chr8:54088419-54088457	891.19	2371.84	2721.82	3608.74	4066.81
mir450-2-5p|chrX:152778560-152778594	486.75	2048.19	2316.62	1314.36	1895.64
rno-mir-1298-5p,mir1298-5p|chrX:118332412-118332481	10	16	16	26.95	9
mir_chr1_446|chr1:79994891-79994954	1	0	0	0	0
mir_chr16_17850|chr16:21058327-21058381	30	105	165.89	149.99	116
mir690-3p|chr1:228245180-228245203	0	0	0.73	1.07	0.25
mir_chr17_13361|chr17:57997856-57997909	67.05	888.36	112.02	6689.29	5710.38
mir_chr6_27659|chr6:104811261-104811314	4	18.61	3.17	63	12.93
mir_chr17_13091|chr17:25710291-25710351	0	0	0	0	0
mir93-3p,mir93a-3p|chr12:21365172-21365215	7.37	80	31.99	109.03	27
mir_chr6_39456|chr6:35461582-35461639	0.5	2.5	2	4.5	3
mir_chr20_18955|chr20:5437256-5437323	0	2	3	2	2
mir_chr2_17954|chr2:207612241-207612300	1	4	3	2	2
mir_chr17_19888|chr17:8315168-8315253	5.58	14.08	28.56	42.13	22.55
mir_chr15_11145|chr15:51316021-51316078	0	0	0	0	0
mir1-5p,mir1b-5p,mir1a-1-5p,mir1a-2-5p,mir1-1-5p|chr3:181345893-181345939	0	0	0	0	0
mir101a-1-5p,mir101b-5p|chr1:254503392-254503441	13	29	46.07	27	34.91
mir_chr3_20817|chr3:52620726-52620786	0	7	5	7	5
mir_chr6_27925|chr6:137610813-137610881	0.99	1.99	2	4	5.76
mir222-3p|chrX:4474785-4474836	80.16	715.74	178.59	654.54	410.92
mir101a-5p,mir101a-2-5p|chr5:124050163-124050209	240.98	663.76	760.03	474.86	820.46
mir_chr10_5495|chr10:19383713-19383771	0	0	2	3.21	2
mir190b-5p|chr2:208854174-208854213	50	154	120	156.92	291.67
mir_chr3_21309|chr3:116715214-116715278	0	0	0	0.63	2.05
mir690-3p|chr18:12806753-12806776	0	0	0.73	1.07	0.25
mir383-3p|chr16:57201685-57201722	0	2	0	0	0
mir206-1-3p,mir206-2-3p,mir206-3p|chr9:25648255-25648297	0	0	0	0	0
mir3592-3p,mir382-3p|chr6:143046517-143046575	0	19.78	4.99	25.97	1
mir_chr16_12605|chr16:20136268-20136340	0	0	0	0	0
mir3064-5p|chr10:94727784-94727817	0	7	0	7.99	3.99
mir547-3p|chr1:151058349-151058389	17	25	30.87	30	49
mir_chr6_27206|chr6:9055203-9055260	0	0	0	0	0
mir_chr3_20874|chr3:66493212-66493281	1	1	2.98	1.98	2.97
mir3595-5p,mir376a-5p|chr6:143036003-143036063	0	34.98	10	3	6
mir_chr8_31128|chr8:63742305-63742358	16.6	11.09	33.27	33.94	12.53
mir_chr17_14102|chr17:73495657-73495718	503.94	736.78	1134.05	576.83	777.88
mir_chr1_911|chr1:152670321-152670388	0	0	0	0	0
mir_chr6_27935|chr6:137859272-137859335	15	36	53.99	59.25	15
mir541-5p|chr6:143055011-143055056	98	242	137.84	265	120.13
mir1291-3p|chr8:17764332-17764362	0	0	0	0.51	0
rno-mir-6329-5p,mir6329-5p|chr8:55210074-55210119	387	947.23	774.97	1860	1829.8
mir_chr12_8348|chr12:39342689-39342749	8	1	18	12	9
mir93-5p,mir93a-5p|chr12:21365216-21365259	3711.09	10530.79	10978.31	16063.64	12498.13
mir3583-3p|chr5:154400903-154400948	0	3	1	1	1
mir31a-3p,mir3554-3p,mir31-3p|chr5:111183074-111183133	20563.46	45324.36	42838.88	88358.21	51263.98
mir_chr10_5864|chr10:57045287-57045364	0	8	3	9.99	4
mir129b-5p,mir129-1-5p,mir129-2-5p|chr3:89838040-89838088	0	0	0	0	0
mir_chr14_9789|chr14:20202784-20202846	9.6	36	42	41.99	53
mir542-3p|chrX:152784231-152784273	398.65	738.66	1262.94	621.58	1042.18
mir34-5p,mir34a-5p|chr5:170733241-170733292	132.87	490.38	369.85	853.06	1173.13
mir3583-5p|chr5:154400858-154400903	2	1	7	0.57	2
mir_chr16_12716|chr16:48676142-48676198	4.95	15	6.95	3	1
mir_chr5_25235|chr5:62085162-62085220	1.01	1.21	6.07	0	1.04
mir_chr5_24861|chr5:160334661-160334720	1.39	16.99	7.2	13.48	13.14
mir615-3p|chr7:142420421-142420467	2	5.81	1	2	0.63
mir_chr10_7445|chr10:66600871-66600941	0	2	4	3	2.78
mir410-3p|chr6:143056390-143056430	77	453.99	114	362.99	36.99
mir_chr17_13311|chr17:53003700-53003764	0	0	0	0	0
rno-mir-6216-3p|chr3:51470031-51470070	0	3.54	1.8	7	5.99
mir3558-5p|chr6:20980703-20980760	5.54	39.87	2.98	34.45	7.99
mir_chr17_14077|chr17:73466837-73466878	110.16	189.41	260.27	112.68	275.22
mir_chr3_19334|chr3:10343106-10343177	0	0.5	0	0	0
mir219c-3p,mir219-1-3p,mir219a-1-3p|chr20:5895488-5895543	17.2	72.81	39.95	124.5	55.98
mir3546-3p,mir208a-3p|chr15:37500033-37500091	0	0	3	0	1
mir_chr2_15971|chr2:8620024-8620080	0	0	0	1	1
mir24-2-3p,mir3074-2-3p,mir24-3p|chr19:36295050-36295104	2440.97	5587.95	6884	5987	7214.99
mir_chr18_15079|chr18:78779702-78779748	0	0	0	0	0
mir423-5p|chr10:62796733-62796787	697.88	6768.91	2761.45	8224.36	4338.85
mir690-3p|chr3:163768206-163768229	0	0	0.73	1.07	0.25
mir215-5p|chr13:107924667-107924717	106.12	126.11	242.3	255.92	221.87
mir_chr1_3884|chr1:266275827-266275885	2.69	3	15.13	2	4
mir344d-3-3p,rno-mir-344b-2-3p|chr1:122330975-122331012	0	0	0	0	0
mir_chr3_20843|chr3:58323166-58323227	0	0	0	0	0
mir_chr20_18570|chr20:8315356-8315418	0	4	0	2	1
mir148a-3p,mir148-3p|chr4:145680954-145681003	1398467.75	2525428.53	4475159.72	2051624.22	2616881.58
mir3581-5p,mir409-5p|chr6:143055814-143055854	9	64.99	10	32.99	15
mir195-5p,mir195a-5p|chr10:56589458-56589505	10374.86	20980.06	27108.22	56655.43	29315
mir374-3p,mir374b-3p|chrX:75245611-75245651	237.01	769	1205.97	334	864.99
mir384-3p|chrX:77108500-77108544	11	99	41.99	18	4
mir_chr7_28804|chr7:127880674-127880734	0	0	0	0	0
mir9b-5p,mir9a-3-5p,mir3597-3-5p,mir9-3-5p,mir9-7-5p|chr1:142191225-142191282	0	9.13	0	0	0
mir487b-3p|chr6:143039521-143039562	16	116.95	31	85.99	16
mir_chrX_33254|chrX:40261795-40261859	0	7	1	0	0
mir_chr4_22962|chr4:7830753-7830811	0	1	0	0	2
mir187-3p|chr18:16149603-16149655	17.05	92.93	59.89	155.4	66.55
mir_chr3_20390|chr3:167541979-167542053	1	0	2	4	1
mir_chr5_25204|chr5:54976823-54976897	4	9.98	8	13	4
mir_chr4_21809|chr4:587610-587665	0	0.5	0	0	0
mir125b-3p,mir125c-3p,mir125b1-3p,mir125b-1-3p,mir125b-2-3p|chr8:44272889-44272932	88.98	177.99	225.06	301.86	194.64
mir_chr1_1753|chr1:255522469-255522535	0	2	1	1	1
mir_chr5_24472|chr5:121074194-121074251	7	19.99	22	17	10
mir328-5p|chr19:48128968-48129015	1	4.88	10.11	16.92	10.99
mir_chr5_24048|chr5:21469541-21469607	290.97	148.84	350.6	8051.23	2202.32
mir873b-3p,mir873-3p,mir873a-3p|chr5:57038980-57039018	1	7	0	6	0
mir143-1-5p,mir143-5p,mir143-2-5p|chr18:56200238-56200290	165.84	441.02	478.49	412.83	483.63
mir_chr7_29774|chr7:124138507-124138568	0	1.98	0	9	8
mir128-1-5p,mir128-5p|chr13:50001705-50001748	9	29	7	62	19
mir3559-3p|chrX:76261607-76261664	372.07	743.2	676.74	963.92	536.79
mir329-3p|chr6:143024387-143024435	0	4	2	0	0
mir134-3p|chr6:143046941-143046981	2	3.68	0	5	0
mir_chr3_19971|chr3:118379406-118379466	0	2.99	2	0	2.98
mir_chr1_1211|chr1:204227197-204227258	0	0	0	1.99	0
mir875-5p|chr7:74588224-74588262	0	0	0	0	0
mir324-3p|chr10:56366287-56366331	20.93	106.21	31.81	201.35	27.22
mir10a-3p,mir10c-3p|chr10:83968736-83968791	298.26	859.79	982.43	997.26	684.16
mir_chr7_28697|chr7:121221888-121221943	0	0	0	0	0
mir_chr1_1932|chr1:276449957-276450019	59.25	139.47	144.43	100.94	271.08
mir_chr1_439|chr1:79607610-79607686	0	1	0	0	0
mir292b-5p,mir292-5p|chr1:63524521-63524562	3	12.09	15.94	9.29	8.95
rno-mir-128-2-5p,mir128-2-5p|chr8:119718226-119718268	0	1	0	0	0
mir322-5p|chrX:153211184-153211231	4135.75	10764.45	16676.04	6854.48	9152.7
mir703-5p|chr20:29630024-29630050	0.82	0	1.56	0.28	0.68
mir511-5p|chr17:83129839-83129878	32.94	89	73	115	75
mir_chr10_5773|chr10:51290494-51290550	0	0	0	0	0
mir186-3p|chr2:282781916-282781959	2.01	9.87	2.13	38.06	44.51
mir_chrX_33503|chrX:115057718-115057777	0	4.99	1	2	4.99
mir344i-3p,rno-mir-344g-3p,mir344g-3p|chr1:123541491-123541530	0	0	1	0.92	0
mir_chr10_4283|chr10:30823399-30823444	1	0	0	3.99	0
mir664-2-3p,mir664-3p|chr13:107866634-107866673	0	152.95	0	12.96	4.72
mir_chr5_24890|chr5:161825845-161825922	0	1.02	3	2	4
rno-mir-6321-3p,mir6321-3p|chr14:21007164-21007234	0	0.41	0.24	0	1
mir_chr12_8141|chr12:13644051-13644141	0	0.97	0	0	0
mir_chr11_6628|chr11:35590129-35590187	2.96	2	4	0	5.8
mir690-3p|chrX:71287444-71287466	0.46	1.25	1.17	0.07	1.28
mir_chrX_33671|chrX:152783468-152783533	0.33	0.33	0	0	0.33
mir_chr5_25834|chr5:152220084-152220148	32.76	77.54	96.35	57.49	42.13
mir_chr8_30800|chr8:1580637-1580695	0	0	0	2	0
mir5122-5p|chr5:155237472-155237516	2	3.01	3	10	2
mir_chr8_30576|chr8:114131011-114131097	0	0	0	31.57	0.13
mir874-3p|chr17:9222223-9222263	94.99	127.99	173.84	163.88	100.37
mir_chr13_12390|chr13:57727124-57727177	0	0	0	0	0
mir_chr8_30464|chr8:85046032-85046102	2	1	3	2	3
mir_chr16_12566|chr16:13994499-13994557	2	2.97	17.99	7.99	9.98
mir126a-5p,mir126b-5p,mir3567-5p,mir126-5p|chr3:9402770-9402829	63943.7	187791.14	183396.62	133813.8	154656.88
mir511-3p|chr17:83129879-83129918	218.98	741.73	893.99	1417.24	798.82
mir_chr5_25185|chr5:53084200-53084265	2	5	2.5	0.01	2.5
mir346-5p|chr16:9574932-9574981	1	1	0	7.93	0
mir_chr1_1150|chr1:195217121-195217179	0	0	0	0	0
mir425-3p|chr8:116699364-116699406	147.93	322.99	346.97	271.3	252.91
mir670-5p|chr3:89858959-89859006	0	0	0	0	0
rno-mir-6331-3p,mir6331-3p|chr6:143040996-143041057	30	173	61	64.99	25
mir_chr3_20586|chr3:11345435-11345483	0	0	0	0	0
mir7022-5p|chr5:168615314-168615344	0	0	0	0	0
mir_chr1_2658|chr1:102549860-102549918	1	0	0	2	1
mir30d-5p,mir30a-5p|chr7:109228681-109228722	111155.51	457888.4	328522.98	496468.15	232785.31
mir_chr1_876|chr1:148693400-148693463	10.99	25.11	65.71	40.32	77.78
mir127-5p|chr6:142875606-142875654	6	32	11.5	46	16.99
mir29a-1-5p,mir29a-2-5p,mir29a-5p,mir3556a-5p|chr4:58099720-58099779	122	512.98	350.96	524.99	693.93
mir3082-3p|chr10:15011409-15011441	3	1	1	10	5
mir878-5p|chrX:151278401-151278439	2	0	2	1	0
mir_chr18_14781|chr18:24114355-24114412	0	0	0	0.83	0
mir_chr4_21861|chr4:9193730-9193786	13	22	47	53	48.98
mir329-5p|chr6:143024338-143024386	0	10.12	7	7	6
mir_chr14_10641|chr14:80435058-80435118	1	0	3	3.99	1
mir_chr16_12624|chr16:21238298-21238354	0	0	0	1	0
mir433-5p|chr6:142874507-142874569	0	2	0	3	1
mir3542-3p|chr17:11745262-11745320	0.5	0.5	0	1.04	0
mir_chr4_22890|chr4:244522165-244522230	13.06	12.06	31.09	16.03	17.75
mir_chr4_22834|chr4:232899471-232899529	2	4	0	3	5
mir3561-3p|chr7:26557087-26557141	0	1.08	1.99	2	3
mir331-3p|chr7:34938749-34938797	87.02	745.58	147.34	297.89	226.71
mir_chr2_17336|chr2:44989687-44989748	0	0	0	0	1
mir344d-3-3p|chr1:122332576-122332615	0	0	0	0.33	0
mir125b-3-3p,mir125b-3p,mir3588-3p,mir125b-2-3p|chr11:19752270-19752323	52.04	310.01	161.02	169.72	70.91
mir_chr13_9559|chr13:99339702-99339768	0	1	3	2	1
rno-mir-155-5p,mir155-5p|chr11:27810351-27810393	138.71	374.89	366.98	1051.34	466.7
mir_chr3_20618|chr3:14323253-14323316	0	1	0	0	0
mir29b-1-5p,mir3587-5p,mir29b1-5p,mir29b-5p|chr4:58100079-58100133	2	51.98	6	22	6
mir8102-3p|chr10:85475381-85475450	0	0	0	3	1
mir103-5p,mir107b-5p,mir103-1-5p,mir103-2-5p|chr10:20480350-20480393	0	0.97	0	1.01	1
mir_chr3_29857|chr3:9453205-9453288	10	15	526.88	6	16
mir_chr7_28642|chr7:114540402-114540462	8.72	32.59	71.5	62.87	68.96
mir_chr4_23649|chr4:216865167-216865227	0	0	0	0	0
mir_chr15_11900|chr15:81215544-81215607	0	0	0	0	0
mir_chrX_33892|chrX:38330478-38330542	0	1.02	2	7.99	6
mir877-5p|chr20:5416399-5416441	5	10.4	1	40.6	12.84
mir6769b-5p|chr16:19919435-19919465	0	0	0	0	0
